CharCode,Value,Name
AUD,64.5915,Австралийский доллар
AZN,57.6206,Азербайджанский манат
GBP,126.744,Фунт стерлингов Соединенного королевства
AMD,25.2878,Армянских драмов
BYN,29.3217,Белорусский рубль
BGN,53.9501,Болгарский лев
BRL,16.9928,Бразильский реал
HUF,25.6319,Венгерских форинтов
VND,40.3722,Вьетнамских донгов
HKD,12.6214,Гонконгский доллар
GEL,35.9507,Грузинский лари
DKK,14.1494,Датская крона
AED,26.6726,Дирхам ОАЭ
USD,97.955,Доллар США
EUR,104.8522,Евро
EGP,19.904,Египетских фунтов
INR,11.6081,Индийских рупий
IDR,62.5072,Индонезийских рупий
KZT,19.9213,Казахстанских тенге
CAD,70.4054,Канадский доллар
QAR,26.9107,Катарский риал
KGS,11.3637,Киргизских сомов
CNY,13.552,Китайский юань
MDL,54.6444,Молдавских леев
NZD,58.4351,Новозеландский доллар
NOK,89.6228,Норвежских крон
PLN,24.4173,Польский злотый
RON,21.0199,Румынский лей
XDR,130.0284,СДР (специальные права заимствования)
SGD,73.7557,Сингапурский доллар
TJS,91.9377,Таджикских сомони
THB,28.5608,Таиландских батов
TRY,28.5647,Турецких лир
TMT,27.9871,Новый туркменский манат
UZS,76.3902,Узбекских сумов
UAH,23.719,Украинских гривен
CZK,41.8307,Чешских крон
SEK,91.0415,Шведских крон
CHF,111.528,Швейцарский франк
RSD,90.2769,Сербских динаров
ZAR,55.4653,Южноафриканских рэндов
KRW,70.7052,Вон Республики Корея
JPY,63.9811,Японских иен
